Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-03-16;4,1;4,2;0;32,1;24,16;16,1;83;74;,666667;
2019-03-17;1,3;10,1;2,4;32,5;24,96;16;75;55;,666667;
2019-03-18;3,6;5,7;,2;33,1;24,52;16,2;83,75;66;1;
2019-03-19;2,5;7,9;,5;32,8;24,9;16,4;79,5;58;0;
2019-03-20;3,3;7,4;0;33,3;25,02;17,7;80,5;61;,333333;
2019-03-21;2,1;3,4;10,8;28,1;21,72;15,4;78,25;71;1,666667;
2019-03-22;3,6;1,5;0;27,1;21,84;13,8;73;64;1,333333;
2019-03-23;4,4;8,4;0;31,1;23,48;15,4;70,75;54;2,333333;
2019-03-24;3,7;10,3;0;33,1;24,12;14;67,25;47;,666667;
2019-03-25;4,5;10;0;33,1;23,88;13,8;70;45;0;
2019-03-26;3,7;10;0;33,5;24,04;13,8;68;45;1;
2019-03-27;6,3;9,8;0;33,2;24,96;16,9;63;45;,333333;
2019-03-28;6;9,8;0;33,1;24,88;16;62,25;48;1,333333;
2019-03-29;6;10,2;0;31,2;23,46;14;65,75;52;1;
2019-03-30;6,2;10;0;31,9;23,1;14,8;66,75;50;,333333;
2019-03-31;4,8;10,1;0;32,4;22,98;13,8;64,25;42;,333333;
2019-04-01;4,9;7,4;0;32,5;22,6;12,8;66,25;43;,333333;
2019-04-02;5,4;9,7;0;33,2;23,8;13,6;68,5;47;,333333;
2019-04-03;5,3;7;0;33,3;25,3;14,9;61;46;,333333;
2019-04-04;5,6;7,3;0;34,1;25,04;16,4;67,25;42;,333333;
2019-04-05;4,5;6,3;0;32,9;24,8;15,6;75,5;60;1;
2019-04-06;4,3;7,1;0;34,8;24,28;16,3;81;58;,666667;
2019-04-07;2,9;3,6;16,4;31,7;23,86;16,3;78,25;61;1;
2019-04-08;1,3;0;58,2;26,1;21,5;15,5;94,25;84;,333333;
2019-04-09;1,3;1,6;3;26,7;21,36;15,2;81,25;73;1,333333;
2019-04-10;2,5;9,9;0;30,7;22,16;13;71,75;54;1;
2019-04-11;4,3;9,8;0;31,9;23,22;13,2;72,25;49;,666667;
2019-04-12;3,9;8,4;0;32,7;23,52;13,8;71,25;49;,333333;
2019-04-13;3;4,7;0;31,3;23,7;15,7;82,5;70;,666667;
2019-04-14;1,2;0;38,6;23,9;19,86;15;95;93;,333333;
2019-04-15;,5;9,6;7,5;31,1;23,8;13,5;77,5;61;0;
2019-04-16;2,9;9;0;31,7;23,18;16;79,75;56;1;
2019-04-17;2,2;6,5;26;30,9;22,12;15,3;85,75;56;,666667;
2019-04-18;2,4;9,7;,2;30,6;20,68;12,5;67,75;38;,333333;
2019-04-19;4,3;9,7;0;30,5;21,56;7,9;53,75;44;,333333;
2019-04-20;4;9,6;0;31,8;20,8;8,9;67,25;44;,333333;
2019-04-21;4,1;9;0;32,1;21,3;10,1;66,5;40;,333333;
2019-04-22;4;8,8;0;32,5;22,5;10,7;67,25;41;,333333;
2019-04-23;5,8;4,7;0;31,7;null;null;76;61;,333333;
