,Accuracy
170,70.81339712918661
171,69.85645933014354
172,69.377990430622
173,70.33492822966507
174,69.85645933014354
175,69.377990430622
176,71.29186602870813
177,72.72727272727273
178,71.77033492822966
179,69.85645933014354
180,68.89952153110048
181,69.85645933014354
182,73.68421052631578
183,70.81339712918661
184,71.77033492822966
185,69.85645933014354
186,74.16267942583733
187,71.29186602870813
188,68.89952153110048
189,71.29186602870813
190,71.77033492822966
191,68.42105263157895
192,68.42105263157895
193,70.81339712918661
194,69.85645933014354
195,69.85645933014354
196,70.33492822966507
197,73.68421052631578
198,72.72727272727273
199,67.94258373205741
200,72.72727272727273
201,69.85645933014354
202,69.85645933014354
203,72.24880382775119
204,70.33492822966507
205,67.94258373205741
206,71.77033492822966
207,74.64114832535886
208,69.85645933014354
209,70.81339712918661
210,70.33492822966507
211,72.24880382775119
212,69.377990430622
213,71.29186602870813
214,70.33492822966507
215,73.20574162679426
216,72.72727272727273
217,71.77033492822966
218,71.77033492822966
219,70.33492822966507
220,71.29186602870813
221,71.29186602870813
222,72.24880382775119
223,69.85645933014354
224,69.85645933014354
225,69.377990430622
226,68.42105263157895
227,74.16267942583733
228,74.16267942583733
229,69.85645933014354
230,72.72727272727273
231,72.24880382775119
232,71.77033492822966
233,70.81339712918661
234,74.16267942583733
235,69.377990430622
236,73.20574162679426
237,69.377990430622
238,71.77033492822966
239,72.24880382775119
240,72.24880382775119
241,72.24880382775119
242,68.89952153110048
243,71.29186602870813
244,70.33492822966507
245,69.377990430622
246,69.85645933014354
247,71.77033492822966
248,71.29186602870813
249,71.29186602870813
250,72.24880382775119
251,70.33492822966507
252,72.72727272727273
253,70.81339712918661
254,73.20574162679426
255,71.77033492822966
256,72.24880382775119
257,70.81339712918661
258,73.68421052631578
259,70.81339712918661
260,73.20574162679426
261,71.29186602870813
262,70.33492822966507
263,73.68421052631578
264,70.33492822966507
265,69.377990430622
266,72.24880382775119
267,71.77033492822966
268,70.33492822966507
269,68.89952153110048
270,72.72727272727273
271,72.72727272727273
272,71.29186602870813
